,0,1
0,"[(200, 200), (38.209512780305715, 1152.3749380299414), (115.31541501269083, 1192.2889611203411), (553.3004817421058, 1109.3317624445776)]",0
1,"[(200, 200), (170.16249130414155, 1169.7400008611176), (185.19220171891737, 1187.734816875161), (666.9848659432927, 1087.1895177996837)]",1
2,"[(200, 200), (228.40905466626026, 1166.1099580493376), (42.484162335463765, 1158.9892404596178), (455.00567539247345, 1218.9407170729028)]",1
3,"[(200, 200), (43.89689275652573, 1137.5743611871399), (602.3976004167412, 1146.6517414225025), (188.6394505443398, 1246.5088979716481)]",0
4,"[(200, 200), (91.38450333888122, 1157.61049302242), (349.55557627741905, 1148.0395533584308), (586.8379671204601, 1104.0558525940328)]",0
5,"[(200, 200), (325.2584636767606, 1238.0646165687763), (101.55307854235681, 1131.4843053099148), (272.93917522427824, 1203.383414310178)]",1
6,"[(200, 200), (654.8900159795111, 1152.8879911827316), (506.84764211816014, 1124.064823076799), (-27.23302165138132, 1115.6979704585917)]",1
7,"[(200, 200), (395.8733635846521, 1165.4169367121779), (549.3655337656642, 1158.3797494568696), (548.4674931893231, 1152.4234865961535)]",1
8,"[(200, 200), (453.94805704745687, 1152.2116718000495), (-36.21912768052729, 1178.8808322448256), (133.22273012154136, 1149.293106302625)]",0
9,"[(200, 200), (-99.19705798194057, 1108.9599716719192), (31.839051384122172, 1174.327391996597), (417.1656492774426, 1223.1344378081421)]",1
10,"[(200, 200), (653.0925544611608, 1091.6330331667791), (-43.9377476637905, 1184.8339134288635), (137.12867931771126, 1153.8835103339115)]",0
11,"[(200, 200), (190.22374855272489, 1195.749754386685), (114.2549583303475, 1198.9483243430054), (281.6726587267345, 1105.6230513824612)]",0
12,"[(200, 200), (558.1049661078124, 1153.3229323870385), (263.9325235022534, 1169.414261612162), (-85.42245659190773, 1162.8635938654372)]",0
13,"[(200, 200), (561.6719935128207, 1186.8448794666333), (306.73210775101666, 1240.0517479039684), (212.37657471584475, 1215.4366006057446)]",1
14,"[(200, 200), (261.9524536209173, 1206.9865598590288), (342.8847021672077, 1219.7485235045556), (386.5409688466553, 1193.5434185663378)]",0
15,"[(200, 200), (270.2519946568849, 1229.2083709958285), (48.51216130706882, 1188.2800073478172), (666.0667139493235, 1166.1096289259888)]",1
16,"[(200, 200), (45.6078158200647, 1192.072379287678), (231.84267694354224, 1182.5774113562882), (253.9108259844877, 1208.1347408738025)]",1
17,"[(200, 200), (-69.98918591178335, 1119.1672574136944), (-40.98819918985623, 1185.603651875711), (-8.424165354750201, 1169.916389641996)]",1
